File                                    cspmf time (s)           cspmj time (s)

altbitprotocol.csp                      0.041089736              0.274308371
bankv1.csp                              0.03344961               0.299865536
bankv2.csp                              0.032169936              0.312149161
BigUnionInterChannelTest.csp            0.022181181              0.2097701
BigUnionInterTests.csp                  0.020481188              0.205988037
BLinkTest.csp                           0.019653351              0.209508661
Buffer.csp                              0.021568543              0.215630394
Buffer_hide.csp                         0.020427428              0.202091254
buses.csp                               0.020513348              0.209363382
ClosureCompTests.csp                    0.023686934              0.226866023
comments.csp                            0.018471917              0.23658038
comment_eof.csp                         0.017406482              0.17182179
ComplicatedChannelGuards.csp            0.019027914              0.203851247
ComplicatedLinkedParallel.csp           0.023004697              0.209071223
ComplicatedLinkedParallel2.csp          0.020304069              0.208806904
ComplicatedSync.csp                     0.025538125              0.22311852
dotpattern.csp                          0.019786471              0.207170591
dtype.csp                               0.01774312               0.170645315
emptySet.csp                            0.01777496               0.171622911
EnumerationTests.csp                    0.02455301               0.24324195
exp.csp                                 0.019053034              0.181180308
ExpressionsNewlinesBetween.csp          0.01775768               0.182241104
Fibonacci.csp                           0.019432072              0.211166894
FM08review.csp                          0.019209513              0.19200554
frogs2.csp                              0.028763071              0.242706592
functional_override.csp                 0.0178804                0.175662733
GenericBuffer1.csp                      0.025460526              0.238383892
hanoi.fix.csp                           0.023507255              0.27006103
inctest.csp                             0.017174003              0.206339555
independent.csp                         0.019345353              0.200477502
Lambda.csp                              0.017569361              0.174336499
LambdaComplex.csp                       0.023265815              0.222944601
LambdaSimple.csp                        0.019199754              0.201053179
LetFunctionPassedOut.csp                0.019767431              0.192598177
LetMultipleEquations.csp                0.021281184              0.205569959
LetMultipleFuns.csp                     0.027530756              0.235765984
LetTests.csp                            0.027009799              0.239152208
LetTestsChannel.csp                     0.022529019              0.203446448
letwithin.csp                           0.018651436              0.180016953
lokal_definitions.csp                   0.018232718              0.185842047
mbuff.csp                               0.026569801              0.303989998
McCarthy.csp                            0.020724707              0.237339577
microwave.csp                           0.02005031               0.193936891
nametype_test.csp                       0.020273669              0.213336804
nametype_test2.csp                      0.019814951              0.196266321
NameWithApostrophe.csp                  0.018875115              0.197837354
NastyNonDet.csp                         0.022044381              0.207976348
nestedOps.csp                           0.017633681              0.172186589
newdebug.csp                            0.018129838              0.214561118
newlinesBetween.csp                     0.01772696               0.181842225
newmbuff.fix.csp                        0.02909203               0.449846784
occursCheck.csp                         0.017128083              0.217668784
oopseq.csp                              0.032204496              0.281866577
oopsla.csp                              0.031004501              0.326563977
PairMedium.csp                          0.020377988              0.213474883
PairSimple.csp                          0.019664392              0.203578288
ParserIssues.csp                        0.021235265              0.212767687
PatMatchPair.csp                        0.019341993              0.202414453
PatMatchTuple.csp                       0.019453833              0.202180054
PatMatchTupleComplex.csp                0.025534925              0.253288946
peterson.csp                            0.028561792              0.243063071
phils.fix.csp                           0.021354144              0.20307253
PrimedVar.csp                           0.017306162              0.181104788
prioProb.csp                            0.017534641              0.183841736
prize.csp                               0.021288545              0.200471902
prologTest.csp                          0.017038803              0.173359223
prologTest2.csp                         0.017492081              0.172057789
protocol.fix.csp                        0.054053358              0.589564078
put12.csp                               0.026130603              0.228235137
ReadMe.csp                              0.017978479              0.17638129
RecursiveDatatype.csp                   0.019274153              0.201661337
ReplicatedAlphParallel.csp              0.025404686              0.212545128
ReplicatedInterleave.csp                0.019230634              0.189527311
ReplicatedSequential.csp                0.020656067              0.199776545
ReplicatedSharing.csp                   0.019469673              0.200131423
RepWithGuard.csp                        0.018450957              0.17412546
same_identifier_error.csp               0.017619921              0.16294087
SeqCompTests.csp                        0.023372696              0.218249742
SeqRangeTests.csp                       0.021432224              0.199655425
SeqTests.csp                            0.024870128              0.223526999
SeqType.csp                             0.020629027              0.195054486
SequenceComprTests2.csp                 0.021181825              0.212161289
sequences.csp                           0.018996395              0.202675572
sequences2.csp                          0.018212558              0.164517503
SequentialRouter.csp                    0.032947052              0.303973998
SetCompAdvanced.csp                     0.025485005              0.226781064
SetCompComplicated.csp                  0.022828537              0.222966521
SetCompComplicated2.csp                 0.021162625              0.202116534
SetCompTests.csp                        0.030801142              0.237939894
SetCompWithLambda.csp                   0.01995447               0.193312894
SetTests.csp                            0.036103838              0.26784088
simple.csp                              0.020297829              0.220305733
SimpleAlphaPar.csp                      0.023453495              0.220263813
SimpleCHAOS.csp                         0.022389659              0.223340279
SimpleCompLinkedPar.csp                 0.021936542              0.202393013
SimpleCompRenaming.csp                  0.019762631              0.195979442
SimpleGenGen.csp                        0.021418144              0.207142272
SimpleGenGenForFDR.csp                  0.022730138              0.219349897
SimpleGetSet.csp                        0.018955275              0.179296796
SimpleIfThenElse.csp                    0.021026946              0.2096445
SimpleInterleaveSkipTest.csp            0.020417668              0.198373671
SimpleInterleaveSkipTest2.csp           0.02003239               0.204592683
SimpleInterruptTimeout.csp              0.021981821              0.222302684
SimpleInterruptTimeout2.csp             0.019909351              0.203330609
SimpleInterruptTimeout_statespace.csp   0.017054004              1.355909445
SimpleLinkedParallel.csp                0.022511419              0.217505105
SimpleLinkedParallel2.csp               0.0265978                0.255600135
SimplePatMatch.csp                      0.027517317              0.22989561
SimpleRenaming.csp                      0.023885013              0.212199529
SimpleRenaming2.csp                     0.022463899              0.219217418
SimpleRepAlphParallel.csp               0.023073976              0.211234894
SimpleReplicated.csp                    0.020141509              0.20530212
SimpleReplicatedLinkedParallel.csp      0.020796227              0.222023325
SimpleSeqComp.csp                       0.020173029              0.204960042
SimpleSubsets.csp                       0.020272549              0.19195946
SimpleTransparent.csp                   0.018891115              0.200100703
speareate.csp                           0.018607917              0.186846523
speareate_error.csp                     0.018078799              0.18738444
StatementPattern.csp                    0.017312082              0.204704363
StrangeAgents.csp                       0.028346433              0.244567064
student1.csp                            0.020143749              0.206729634
subtype_ex.csp                          0.024084372              0.221317568
subtype_nametype_ex.csp                 0.023585494              0.22095117
TestDotPat.csp                          0.02008695               0.209964019
tickets.csp                             0.019258954              0.20081766
unary_minus.csp                         0.01789096               0.181146868
verysimple.csp                          0.01769896               0.172551867
VerySimpleTimeout.csp                   0.019032234              0.197395275
vm2.csp                                 0.018667116              0.189281392
TOTAL                                   2.835639106              29.053860053
