file                              cspmf time (s)  cspmj time (s)  factor (s)

altbitprotocol.csp                0.04            0.032           1.251
bankv1.csp                        0.033           0.008           3.936
bankv2.csp                        0.032           0.008           3.941
BigUnionInterChannelTest.csp      0.022           0.002           10.209
BigUnionInterTests.csp            0.021           0.002           12.737
BLinkTest.csp                     0.02            0.002           9.952
Buffer.csp                        0.022           0.002           8.756
Buffer_hide.csp                   0.021           0.002           10.906
buses.csp                         0.02            0.002           12.485
ClosureCompTests.csp              0.024           0.003           7.884
comments.csp                      0.018           0.001           15.622
comment_eof.csp                   0.017           0.001           23.841
ComplicatedChannelGuards.csp      0.019           0.001           17.865
ComplicatedLinkedParallel.csp     0.023           0.003           8.294
ComplicatedLinkedParallel2.csp    0.021           0.002           11.983
ComplicatedSync.csp               0.025           0.004           6.038
dotpattern.csp                    0.019           0.001           14.133
dtype.csp                         0.017           0.001           26.439
EmptyFile.csp                     0.017           0.001           32.68
emptySet.csp                      0.017           0.001           23.828
EnumerationTests.csp              0.024           0.004           6.073
example.csp                       0.199           0.106           1.873
exp.csp                           0.019           0.001           16.019
ExpressionsNewlinesBetween.csp    0.018           0.001           24.949
Fibonacci.csp                     0.02            0.001           14.419
FM08review.csp                    0.019           0.001           14.705
frogs2.csp                        0.029           0.006           4.743
functional_override.csp           0.018           0.001           25.06
GenericBuffer1.csp                0.025           0.004           6.717
hanoi.fix.csp                     0.023           0.003           7.029
inctest.csp                       0.017           0.002           9.649
inctest2.csp                      0.017           0.001           15.718
independent.csp                   0.019           0.001           18.551
Lambda.csp                        0.018           0.001           25.875
LambdaComplex.csp                 0.023           0.003           7.709
LambdaSimple.csp                  0.019           0.001           17.971
LetFunctionPassedOut.csp          0.019           0.001           13.99
LetMultipleEquations.csp          0.021           0.002           9.24
LetMultipleFuns.csp               0.027           0.005           5.808
LetTests.csp                      0.025           0.004           5.946
LetTestsChannel.csp               0.022           0.002           9.381
letwithin.csp                     0.018           0.001           24.962
lokal_definitions.csp             0.018           0.001           24.395
mbuff.csp                         0.026           0.005           5.124
McCarthy.csp                      0.02            0.002           12.994
microwave.csp                     0.019           0.001           15.224
nametype_test.csp                 0.02            0.002           11.696
nametype_test2.csp                0.019           0.001           13.73
NameWithApostrophe.csp            0.019           0.001           21.455
NastyNonDet.csp                   0.022           0.002           9.639
nestedOps.csp                     0.018           0.001           24.332
newdebug.csp                      0.018           0.002           11.076
newlinesBetween.csp               0.018           0.001           25.232
newmbuff.fix.csp                  0.029           0.006           4.826
occursCheck.csp                   0.017           0.002           6.886
oopseq.csp                        0.032           0.007           4.756
oopsla.csp                        0.031           0.007           4.701
PairMedium.csp                    0.02            0.002           10.25
PairSimple.csp                    0.02            0.001           13.92
ParserIssues.csp                  0.021           0.002           11.484
PatMatchPair.csp                  0.019           0.001           14.6
PatMatchTuple.csp                 0.019           0.001           14.726
PatMatchTupleComplex.csp          0.025           0.004           6.541
peterson.csp                      0.028           0.005           5.708
phils.fix.csp                     0.021           0.002           11.264
PrimedVar.csp                     0.017           0.001           30.886
prioProb.csp                      0.017           0.001           29.827
prize.csp                         0.021           0.002           11.599
prologTest.csp                    0.018           0.001           22.056
prologTest2.csp                   0.017           0.001           30.602
protocol.fix.csp                  0.053           0.02            2.632
put12.csp                         0.026           0.004           7.221
ReadMe.csp                        0.018           0.001           23.616
RecursiveDatatype.csp             0.019           0.001           17.517
ReplicatedAlphParallel.csp        0.025           0.003           7.87
ReplicatedInterleave.csp          0.019           0.001           19.088
ReplicatedSequential.csp          0.02            0.002           11.465
ReplicatedSharing.csp             0.019           0.001           19.159
RepWithGuard.csp                  0.018           0.001           24.077
same_identifier_error.csp         0.017           0.001           27.869
SeqCompTests.csp                  0.023           0.003           7.344
SeqRangeTests.csp                 0.021           0.002           12.177
SeqTests.csp                      0.025           0.004           6.159
SeqType.csp                       0.02            0.002           11.574
SequenceComprTests2.csp           0.021           0.002           10.507
sequences.csp                     0.018           0.001           22.001
sequences2.csp                    0.018           0.001           25.42
SequentialRouter.csp              0.033           0.008           4.338
SetCompAdvanced.csp               0.024           0.003           7.097
SetCompComplicated.csp            0.023           0.003           7.181
SetCompComplicated2.csp           0.021           0.002           12.506
SetCompTests.csp                  0.03            0.005           5.812
SetCompWithLambda.csp             0.02            0.002           12.188
SetTests.csp                      0.036           0.009           4.162
simple.csp                        0.02            0.002           11.174
SimpleAlphaPar.csp                0.023           0.003           8.777
SimpleCHAOS.csp                   0.022           0.003           7.519
SimpleCompLinkedPar.csp           0.022           0.002           10.127
SimpleCompRenaming.csp            0.019           0.001           16.705
SimpleGenGen.csp                  0.022           0.002           9.556
SimpleGenGenForFDR.csp            0.022           0.002           9.17
SimpleGetSet.csp                  0.019           0.001           19.127
SimpleIfThenElse.csp              0.021           0.002           12.231
SimpleInterleaveSkipTest.csp      0.02            0.001           13.948
SimpleInterleaveSkipTest2.csp     0.019           0.001           16.845
SimpleInterruptTimeout.csp        0.021           0.002           9.992
SimpleInterruptTimeout2.csp       0.02            0.001           15.205
SimpleIntTim_statespace.csp       0.017           0.136           0.123
SimpleLinkedParallel.csp          0.022           0.002           9.041
SimpleLinkedParallel2.csp         0.027           0.004           6.257
SimplePatMatch.csp                0.027           0.005           5.647
SimpleRenaming.csp                0.023           0.003           8.445
SimpleRenaming2.csp               0.022           0.002           9.476
SimpleRepAlphParallel.csp         0.023           0.003           8.427
SimpleReplicated.csp              0.02            0.002           12.511
SimpleRepLinkedParallel.csp       0.021           0.002           11.234
SimpleSeqComp.csp                 0.02            0.001           14.936
SimpleSubsets.csp                 0.02            0.002           12.839
SimpleTransparent.csp             0.019           0.001           18.804
speareate.csp                     0.018           0.001           20.915
speareate_error.csp               0.018           0.001           26.381
StatementPattern.csp              0.017           0.002           10.895
StrangeAgents.csp                 0.028           0.005           5.306
student1.csp                      0.02            0.002           12.673
subtype_ex.csp                    0.024           0.003           9.098
subtype_nametype_ex.csp           0.024           0.003           9.14
TestDotPat.csp                    0.02            0.002           13.278
tickets.csp                       0.019           0.001           19.812
Tokeneer.csp                      0.316           0.265           1.192
unary_minus.csp                   0.017           0.001           26.258
verysimple.csp                    0.017           0.001           26.226
VerySimpleTimeout.csp             0.019           0.001           21.037
vm2.csp                           0.019           0.001           20.67
TOTAL                             3.354           0.847           3.961
